model,run,mae,r2,spearman
behavioral_raw_logits,run-ef7523a1358a/seed-881886696,0.31052575380780806,-0.8514410263147887,0.9834420011757081
behavioral_raw_logits,run-f856f0c1ae51/seed-2722409734,0.03726342518942084,0.9502538205207722,0.9890707830196975
behavioral_raw_logits,run-f856f0c1ae51/seed-310190245,0.08739658107231785,0.7884099717034381,0.871429242480316
behavioral_class_centered,run-0e25bbe73f49/seed-3127276340,0.0667983710698686,0.8428072844082325,0.8913176049957457
behavioral_class_centered,run-0e25bbe73f49/seed-4247511459,0.09286238724016284,0.7918392435928675,0.6909329713497177
behavioral_class_centered,run-98357fef99fe/seed-4292514521,0.12733293893835557,0.28994474922684565,0.750035180711608
behavioral_class_centered,run-98357fef99fe/seed-971400669,0.044653441608119966,0.8379400955839124,0.8183310670853479
behavioral_class_centered,run-be83c9d3e5af/seed-2325060526,0.24073522158219535,0.2671377639213909,0.7613327914747829
behavioral_class_centered,run-be83c9d3e5af/seed-3549333581,0.16832793426775544,-1.203377186808468,0.8187617260787995
behavioral_class_centered,run-ebbe4035ec6e/seed-1741336945,0.2763603442025109,-3.986805420651428,0.9712463071803974
behavioral_class_centered,run-ebbe4035ec6e/seed-3002361271,0.10904597873326563,0.650540668720261,0.8500398714731556
behavioral_class_centered,run-ef7523a1358a/seed-1226023601,0.12097368453023863,0.4279272654101496,0.9039219524885707
behavioral_class_centered,run-ef7523a1358a/seed-881886696,0.3105152541322008,-0.8512081390647426,0.9834420011757081
behavioral_class_centered,run-f856f0c1ae51/seed-2722409734,0.03752376540181286,0.9497272222016422,0.9890707830196975
behavioral_class_centered,run-f856f0c1ae51/seed-310190245,0.08715773286856733,0.7894935415292087,0.871429242480316
behavioral_scale_normalized,run-0e25bbe73f49/seed-3127276340,0.12916465603606248,0.43980686588463314,0.9391622506696569
behavioral_scale_normalized,run-0e25bbe73f49/seed-4247511459,0.0786951510332466,0.8550147945135483,0.7659833959362451
behavioral_scale_normalized,run-98357fef99fe/seed-4292514521,0.11165591965818047,0.4708902014821994,0.8303391350191922
behavioral_scale_normalized,run-98357fef99fe/seed-971400669,0.020561370891602974,0.9608509737805297,0.9564238483245583
behavioral_scale_normalized,run-be83c9d3e5af/seed-2325060526,0.05835608368433144,0.8512997457309963,0.7643360766482535
behavioral_scale_normalized,run-be83c9d3e5af/seed-3549333581,0.19026835456185145,-1.8008727703889473,0.7913696060037524
behavioral_scale_normalized,run-ebbe4035ec6e/seed-1741336945,0.2180855986304044,-2.0873305667465893,0.9760307717477885
behavioral_scale_normalized,run-ebbe4035ec6e/seed-3002361271,0.12474701206405894,0.5794747485875814,0.849101741165824
behavioral_scale_normalized,run-ef7523a1358a/seed-1226023601,0.15860652721570592,0.04851853936366923,0.8701445077204697
behavioral_scale_normalized,run-ef7523a1358a/seed-881886696,0.1715566485642795,0.374848892377016,0.9074534462818491
behavioral_scale_normalized,run-f856f0c1ae51/seed-2722409734,0.10051517189085099,0.6122155136881944,0.9661804035208068
behavioral_scale_normalized,run-f856f0c1ae51/seed-310190245,0.07039170590907112,0.8600320126024771,0.9624278822914804
behavioral_probabilities,run-0e25bbe73f49/seed-3127276340,0.060130146155832384,0.8544558288267605,0.9414137634072528
behavioral_probabilities,run-0e25bbe73f49/seed-4247511459,0.04566266640618564,0.9082094095489683,0.758853605600525
behavioral_probabilities,run-98357fef99fe/seed-4292514521,0.11701398261417753,0.40505345713302865,0.7915005402956642
behavioral_probabilities,run-98357fef99fe/seed-971400669,0.02228450105710844,0.9550729805678534,0.9031380468681238
behavioral_probabilities,run-be83c9d3e5af/seed-2325060526,0.24717786193522304,0.22634490800640183,0.7662131298816726
behavioral_probabilities,run-be83c9d3e5af/seed-3549333581,0.16305510691105546,-1.0511579745149917,0.7812382739212008
behavioral_probabilities,run-ebbe4035ec6e/seed-1741336945,0.1823504401427037,-1.220853201080883,0.8849383189058909
behavioral_probabilities,run-ebbe4035ec6e/seed-3002361271,0.11009801373964853,0.6831649672613045,0.8224588404376069
behavioral_probabilities,run-ef7523a1358a/seed-1226023601,0.12124963895064655,0.45204606485677556,0.9782323309783929
behavioral_probabilities,run-ef7523a1358a/seed-881886696,0.12122050556014678,0.7183822437098857,0.9757493326555889
behavioral_probabilities,run-f856f0c1ae51/seed-2722409734,0.06510734184088512,0.8503047538210194,0.9915099218187599
behavioral_probabilities,run-f856f0c1ae51/seed-310190245,0.05733063293944844,0.9145211500171544,0.9982644600315472
